activity_1,activity_2,activity_3,activity_4,activity_5,next_activity,org:resource
24,23,24,23,24,23,NONE
7,11,7,11,7,11,batch_00
13,13,13,13,13,13,batch_01
7,12,12,12,12,12,batch_02
7,7,7,7,7,7,batch_03
7,7,7,7,7,7,batch_04
12,12,12,12,12,12,batch_05
7,12,12,12,12,12,batch_06
7,12,12,12,12,12,batch_07
8,8,8,8,8,8,batch_08
12,12,12,12,12,12,batch_09
7,12,7,12,12,7,batch_10
7,0,7,7,0,0,batch_11
12,12,12,12,12,12,batch_12
12,12,12,12,12,12,batch_13
0,0,0,0,0,0,batch_14
8,8,8,8,8,8,batch_16
8,8,8,8,8,8,batch_17
8,8,8,0,0,0,batch_19
7,7,7,7,7,7,user_000
13,13,13,13,13,13,user_001
6,6,6,6,6,6,user_002
19,21,19,21,19,19,user_003
13,13,13,13,13,13,user_004
6,6,6,6,6,6,user_005
14,14,14,14,14,14,user_006
13,13,13,13,13,13,user_007
13,13,13,13,13,13,user_008
17,16,15,18,17,16,user_009
16,15,18,17,17,17,user_010
13,13,13,13,13,13,user_011
13,13,13,13,13,13,user_012
13,13,13,13,13,13,user_013
17,16,15,18,17,16,user_014
13,13,13,13,13,13,user_015
17,16,15,18,17,16,user_016
17,16,15,18,17,16,user_017
13,13,13,13,13,13,user_018
13,13,13,13,13,13,user_019
13,13,13,13,13,13,user_020
17,16,15,18,17,17,user_021
17,16,15,18,19,20,user_022
14,14,14,14,14,14,user_023
13,13,13,13,13,13,user_024
19,19,19,19,19,19,user_025
17,16,15,18,19,20,user_026
6,6,6,6,6,6,user_027
16,15,18,16,15,18,user_028
11,11,11,11,11,11,user_029
12,12,12,12,12,12,user_030
12,12,12,12,12,12,user_031
12,12,12,12,12,12,user_032
7,7,7,7,7,7,user_033
12,12,12,12,12,12,user_034
12,12,12,12,12,12,user_035
7,7,7,7,7,7,user_036
4,4,4,4,4,4,user_037
7,7,7,7,7,7,user_038
4,4,4,4,4,4,user_039
